,Parabacteroides distasonis ATCC 8503_0.01.pkl
P. distasonis_gapfilled_0,"{'EX_cpd00635_e': 0.020546098726918142, 'EX_cpd00023_e': 0.020546098726648587, 'EX_cpd11595_e': 0.020546098726918142, 'EX_cpd00154_e': 0.020546098726918142, 'EX_cpd08306_e': 0.020546098726918142, 'EX_cpd00309_e': 0.020546098726918142, 'EX_cpd00540_e': 0.020546098726918142, 'EX_cpd11597_e': 0.020546098726918142, 'EX_cpd08305_e': 0.020546098726918142, 'EX_cpd00396_e': 0.020546098726918142, 'EX_cpd00039_e': 0.020546098726918142, 'EX_cpd00011_e': 0.020546098726879212, 'EX_cpd00322_e': 0.020546098726837003, 'EX_cpd00111_e': 0.020546098726837003, 'EX_cpd00028_e': 0.020546098726837003, 'EX_cpd01188_e': 0.020546098726837003, 'EX_cpd00357_e': 0.020546098726897787, 'EX_cpd03847_e': 0.020546098726837003, 'EX_cpd01080_e': 0.020546098726837003, 'EX_cpd00010_e': 0.020546098726837003, 'EX_cpd00264_e': 0.020546098726837003, 'EX_cpd11606_e': 0.020546098726837003, 'EX_cpd00305_e': 0.020546098726837003, 'EX_cpd00129_e': 0.020546098726864234, 'EX_cpd00367_e': 0.020546098726918142}"
P. distasonis_gapfilled_1,"{'EX_cpd00635_e': 0.04109219745379554, 'EX_cpd00023_e': 0.04109219745379554, 'EX_cpd11595_e': 0.04109219745379554, 'EX_cpd00154_e': 0.04109219745379554, 'EX_cpd08306_e': 0.04109219745379554, 'EX_cpd00309_e': 0.04109219745379554, 'EX_cpd00540_e': 0.04109219745379554, 'EX_cpd11597_e': 0.04109219745379554, 'EX_cpd08305_e': 0.04109219745379554, 'EX_cpd00396_e': 0.04109219745379554, 'EX_cpd00039_e': 0.04109219745379554, 'EX_cpd00011_e': 0.04109219745379554, 'EX_cpd00322_e': 0.04109219745379554, 'EX_cpd00111_e': 0.04109219745379554, 'EX_cpd00028_e': 0.04109219745379554, 'EX_cpd01188_e': 0.04109219745379554, 'EX_cpd00357_e': 0.041092197453795554, 'EX_cpd03847_e': 0.04109219745379554, 'EX_cpd01080_e': 0.04109219745379554, 'EX_cpd00010_e': 0.04109219745379554, 'EX_cpd00264_e': 0.04109219745379554, 'EX_cpd11606_e': 0.04109219745379554, 'EX_cpd00305_e': 0.04109219745379554, 'EX_cpd00129_e': 0.04109219745379554, 'EX_cpd00367_e': 0.04109219745379554}"
P. distasonis_gapfilled_10,"{'EX_cpd00635_e': 0.04109219745379451, 'EX_cpd00023_e': 0.04109219745375273, 'EX_cpd11595_e': 0.04109219745379451, 'EX_cpd00154_e': 0.04109219745379451, 'EX_cpd08306_e': 0.04109219745379451, 'EX_cpd00309_e': 0.04109219745379451, 'EX_cpd00540_e': 0.04109219745379451, 'EX_cpd11597_e': 0.04109219745379451, 'EX_cpd08305_e': 0.04109219745379451, 'EX_cpd00396_e': 0.04109219745379451, 'EX_cpd00039_e': 0.04109219745379451, 'EX_cpd00011_e': 0.04109219745373328, 'EX_cpd00322_e': 0.04109219745379451, 'EX_cpd00111_e': 0.04109219745379451, 'EX_cpd00028_e': 0.04109219745379451, 'EX_cpd01188_e': 0.04109219745379451, 'EX_cpd00357_e': 0.04109219745379554, 'EX_cpd03847_e': 0.04109219745379451, 'EX_cpd01080_e': 0.04109219745379451, 'EX_cpd00010_e': 0.04109219745379451, 'EX_cpd00264_e': 0.04109219745379451, 'EX_cpd11606_e': 0.04109219745379451, 'EX_cpd00305_e': 0.04109219745379451, 'EX_cpd00129_e': 0.04109219745374841, 'EX_cpd00367_e': 0.04109219745379451}"
P. distasonis_gapfilled_11,"{'EX_cpd00635_e': 0.04109219745374625, 'EX_cpd00023_e': 0.041092197453698444, 'EX_cpd11595_e': 0.04109219745374625, 'EX_cpd00154_e': 0.04109219745374625, 'EX_cpd08306_e': 0.04109219745374625, 'EX_cpd00309_e': 0.04109219745374625, 'EX_cpd00540_e': 0.04109219745374625, 'EX_cpd11597_e': 0.04109219745374625, 'EX_cpd08305_e': 0.04109219745374625, 'EX_cpd00396_e': 0.04109219745374625, 'EX_cpd00039_e': 0.04109219745374625, 'EX_cpd00011_e': 0.04109219745343907, 'EX_cpd00322_e': 0.0410921974531834, 'EX_cpd00111_e': 0.0410921974531834, 'EX_cpd00028_e': 0.0410921974531834, 'EX_cpd01188_e': 0.04109219745313284, 'EX_cpd00357_e': 0.04109219745379451, 'EX_cpd03847_e': 0.0410921974531834, 'EX_cpd01080_e': 0.0410921974531834, 'EX_cpd00010_e': 0.0410921974531834, 'EX_cpd00264_e': 0.0410921974531834, 'EX_cpd11606_e': 0.0410921974531834, 'EX_cpd00305_e': 0.0410921974531834, 'EX_cpd00129_e': 0.04109219745313284, 'EX_cpd00367_e': 0.04109219745374625}"
P. distasonis_gapfilled_12,"{'EX_cpd00635_e': 0.04109219745379554, 'EX_cpd00023_e': 0.04109219745351824, 'EX_cpd11595_e': 0.04109219745379554, 'EX_cpd00154_e': 0.04109219745379554, 'EX_cpd08306_e': 0.04109219745379554, 'EX_cpd00309_e': 0.04109219745379554, 'EX_cpd00540_e': 0.04109219745379554, 'EX_cpd11597_e': 0.04109219745379554, 'EX_cpd08305_e': 0.04109219745379554, 'EX_cpd00396_e': 0.04109219745379554, 'EX_cpd00039_e': 0.04109219745379554, 'EX_cpd00011_e': 0.04109219745379554, 'EX_cpd00322_e': 0.04109219745379554, 'EX_cpd00111_e': 0.04109219745379554, 'EX_cpd00028_e': 0.04109219745379554, 'EX_cpd01188_e': 0.04109219745379554, 'EX_cpd00357_e': 0.041092197453795644, 'EX_cpd03847_e': 0.04109219745379554, 'EX_cpd01080_e': 0.04109219745379554, 'EX_cpd00010_e': 0.04109219745379554, 'EX_cpd00264_e': 0.04109219745379554, 'EX_cpd11606_e': 0.04109219745379554, 'EX_cpd00305_e': 0.04109219745379554, 'EX_cpd00129_e': 0.04109219745379554, 'EX_cpd00367_e': 0.04109219745379554}"
P. distasonis_gapfilled_13,"{'EX_cpd00635_e': 0.04109219745379558, 'EX_cpd00023_e': 0.041092197453795574, 'EX_cpd11595_e': 0.04109219745379558, 'EX_cpd00154_e': 0.04109219745379558, 'EX_cpd08306_e': 0.04109219745379558, 'EX_cpd00309_e': 0.04109219745379558, 'EX_cpd00540_e': 0.04109219745379558, 'EX_cpd11597_e': 0.04109219745379558, 'EX_cpd08305_e': 0.04109219745379558, 'EX_cpd00396_e': 0.04109219745379558, 'EX_cpd00039_e': 0.04109219745379558, 'EX_cpd00011_e': 0.04109219745379558, 'EX_cpd00322_e': 0.04109219745379558, 'EX_cpd00111_e': 0.04109219745379558, 'EX_cpd00028_e': 0.04109219745379558, 'EX_cpd01188_e': 0.04109219745379558, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.04109219745379558, 'EX_cpd01080_e': 0.04109219745379558, 'EX_cpd00010_e': 0.04109219745379558, 'EX_cpd00264_e': 0.04109219745379558, 'EX_cpd11606_e': 0.04109219745379558, 'EX_cpd00305_e': 0.04109219745379558, 'EX_cpd00129_e': 0.04109219745379558, 'EX_cpd00367_e': 0.04109219745379558}"
P. distasonis_gapfilled_14,"{'EX_cpd00635_e': 0.020546098726897784, 'EX_cpd00023_e': 0.020546098726867516, 'EX_cpd11595_e': 0.020546098726897784, 'EX_cpd00154_e': 0.020546098726897784, 'EX_cpd08306_e': 0.020546098726897784, 'EX_cpd00309_e': 0.020546098726897784, 'EX_cpd00540_e': 0.020546098726897784, 'EX_cpd11597_e': 0.020546098726897784, 'EX_cpd08305_e': 0.020546098726897784, 'EX_cpd00396_e': 0.020546098726897784, 'EX_cpd00039_e': 0.020546098726897784, 'EX_cpd00011_e': 0.020546098726897784, 'EX_cpd00322_e': 0.020546098726897784, 'EX_cpd00111_e': 0.020546098726897784, 'EX_cpd00028_e': 0.020546098726897784, 'EX_cpd01188_e': 0.020546098726897784, 'EX_cpd00357_e': 0.020546098726897777, 'EX_cpd03847_e': 0.020546098726897784, 'EX_cpd01080_e': 0.020546098726897784, 'EX_cpd00010_e': 0.020546098726897784, 'EX_cpd00264_e': 0.020546098726897784, 'EX_cpd11606_e': 0.020546098726897784, 'EX_cpd00305_e': 0.020546098726897784, 'EX_cpd00129_e': 0.020546098726897784, 'EX_cpd00367_e': 0.020546098726897784}"
P. distasonis_gapfilled_15,"{'EX_cpd00635_e': 0.041092197453795554, 'EX_cpd00023_e': 0.04109219745406171, 'EX_cpd11595_e': 0.041092197453795554, 'EX_cpd00154_e': 0.041092197453795554, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.0410921974537938, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.04109219745379554, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.041092197453795554}"
P. distasonis_gapfilled_16,"{'EX_cpd00635_e': 0.020546098726897787, 'EX_cpd00023_e': 0.020546098727355307, 'EX_cpd11595_e': 0.020546098726897787, 'EX_cpd00154_e': 0.020546098726897787, 'EX_cpd08306_e': 0.020546098726897787, 'EX_cpd00309_e': 0.020546098726897787, 'EX_cpd00540_e': 0.020546098726897787, 'EX_cpd11597_e': 0.020546098726897787, 'EX_cpd08305_e': 0.020546098726897787, 'EX_cpd00396_e': 0.020546098726897787, 'EX_cpd00039_e': 0.020546098726897787, 'EX_cpd00011_e': 0.020546098726897787, 'EX_cpd00322_e': 0.02054609872689779, 'EX_cpd00111_e': 0.02054609872689779, 'EX_cpd00028_e': 0.02054609872689779, 'EX_cpd01188_e': 0.02054609872689779, 'EX_cpd00357_e': 0.020546098726980995, 'EX_cpd03847_e': 0.02054609872689779, 'EX_cpd01080_e': 0.02054609872689779, 'EX_cpd00010_e': 0.02054609872689779, 'EX_cpd00264_e': 0.02054609872689779, 'EX_cpd11606_e': 0.02054609872689779, 'EX_cpd00305_e': 0.02054609872689779, 'EX_cpd00129_e': 0.02054609872689779, 'EX_cpd00367_e': 0.020546098726897787}"
P. distasonis_gapfilled_17,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.041092197452293526, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.04109219745379559, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.041092197453795574}"
P. distasonis_gapfilled_18,"{'EX_cpd00635_e': 0.04109219745379561, 'EX_cpd00023_e': 0.041092197453770185, 'EX_cpd11595_e': 0.04109219745379561, 'EX_cpd00154_e': 0.04109219745379579, 'EX_cpd08306_e': 0.04109219745379561, 'EX_cpd00309_e': 0.04109219745379561, 'EX_cpd00540_e': 0.04109219745379561, 'EX_cpd11597_e': 0.04109219745379561, 'EX_cpd08305_e': 0.04109219745379561, 'EX_cpd00396_e': 0.04109219745379561, 'EX_cpd00039_e': 0.04109219745379561, 'EX_cpd00011_e': 0.041092197453796935, 'EX_cpd00322_e': 0.04109219745379561, 'EX_cpd00111_e': 0.04109219745379561, 'EX_cpd00028_e': 0.04109219745379561, 'EX_cpd01188_e': 0.04109219745379561, 'EX_cpd00357_e': 0.04109219745379556, 'EX_cpd03847_e': 0.04109219745379561, 'EX_cpd01080_e': 0.04109219745379561, 'EX_cpd00010_e': 0.04109219745379561, 'EX_cpd00264_e': 0.04109219745379561, 'EX_cpd11606_e': 0.04109219745379561, 'EX_cpd00305_e': 0.04109219745379561, 'EX_cpd00129_e': 0.04109219745379561, 'EX_cpd00367_e': 0.04109219745379561}"
P. distasonis_gapfilled_19,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.041092197453757896, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795554, 'EX_cpd00322_e': 0.041092197453795554, 'EX_cpd00111_e': 0.041092197453795554, 'EX_cpd00028_e': 0.041092197453795554, 'EX_cpd01188_e': 0.041092197453795554, 'EX_cpd00357_e': 0.041092197453796865, 'EX_cpd03847_e': 0.041092197453795554, 'EX_cpd01080_e': 0.041092197453795554, 'EX_cpd00010_e': 0.041092197453795554, 'EX_cpd00264_e': 0.041092197453795554, 'EX_cpd11606_e': 0.041092197453795554, 'EX_cpd00305_e': 0.041092197453795554, 'EX_cpd00129_e': 0.041092197453795554, 'EX_cpd00367_e': 0.041092197453795574}"
P. distasonis_gapfilled_2,"{'EX_cpd00635_e': 0.0410921974536216, 'EX_cpd00023_e': 0.04109219745279677, 'EX_cpd11595_e': 0.0410921974536216, 'EX_cpd00154_e': 0.0410921974536216, 'EX_cpd08306_e': 0.0410921974536216, 'EX_cpd00309_e': 0.0410921974536216, 'EX_cpd00540_e': 0.0410921974536216, 'EX_cpd11597_e': 0.0410921974536216, 'EX_cpd08305_e': 0.0410921974536216, 'EX_cpd00396_e': 0.0410921974536216, 'EX_cpd00039_e': 0.0410921974536216, 'EX_cpd00011_e': 0.04109219745425546, 'EX_cpd00322_e': 0.04109219745435298, 'EX_cpd00111_e': 0.04109219745435298, 'EX_cpd00028_e': 0.04109219745435298, 'EX_cpd01188_e': 0.04109219745435298, 'EX_cpd00357_e': 0.0410921974538135, 'EX_cpd03847_e': 0.04109219745435298, 'EX_cpd01080_e': 0.04109219745435298, 'EX_cpd00010_e': 0.04109219745435298, 'EX_cpd00264_e': 0.04109219745435298, 'EX_cpd11606_e': 0.04109219745435298, 'EX_cpd00305_e': 0.04109219745435298, 'EX_cpd00129_e': 0.04109219745435298, 'EX_cpd00367_e': 0.0410921974536216}"
P. distasonis_gapfilled_20,"{'EX_cpd00635_e': 0.02054609872207206, 'EX_cpd00023_e': 0.020546098726897784, 'EX_cpd11595_e': 0.02054609872207206, 'EX_cpd00154_e': 0.02054609872207206, 'EX_cpd08306_e': 0.02054609872207206, 'EX_cpd00309_e': 0.02054609872207206, 'EX_cpd00540_e': 0.02054609872207206, 'EX_cpd11597_e': 0.02054609872207206, 'EX_cpd08305_e': 0.02054609872207206, 'EX_cpd00396_e': 0.02054609872207206, 'EX_cpd00039_e': 0.02054609872207206, 'EX_cpd00011_e': 0.02054609872738504, 'EX_cpd00322_e': 0.02054609872693096, 'EX_cpd00111_e': 0.02054609872693096, 'EX_cpd00028_e': 0.02054609872693096, 'EX_cpd01188_e': 0.02054609872693096, 'EX_cpd00357_e': 0.02054609872698076, 'EX_cpd03847_e': 0.02054609872693096, 'EX_cpd01080_e': 0.02054609872693096, 'EX_cpd00010_e': 0.02054609872693096, 'EX_cpd00264_e': 0.02054609872693096, 'EX_cpd11606_e': 0.02054609872693096, 'EX_cpd00305_e': 0.02054609872693096, 'EX_cpd00129_e': 0.02054609872693096, 'EX_cpd00367_e': 0.02054609872207206}"
P. distasonis_gapfilled_21,"{'EX_cpd00635_e': 0.04109219745428744, 'EX_cpd00023_e': 0.04109219745379557, 'EX_cpd11595_e': 0.04109219745428744, 'EX_cpd00154_e': 0.04109219745428744, 'EX_cpd08306_e': 0.04109219745428744, 'EX_cpd00309_e': 0.04109219745428744, 'EX_cpd00540_e': 0.04109219745428744, 'EX_cpd11597_e': 0.04109219745428744, 'EX_cpd08305_e': 0.04109219745428744, 'EX_cpd00396_e': 0.04109219745428744, 'EX_cpd00039_e': 0.04109219745428744, 'EX_cpd00011_e': 0.04109219745373498, 'EX_cpd00322_e': 0.041092197454026216, 'EX_cpd00111_e': 0.041092197454026216, 'EX_cpd00028_e': 0.041092197454026216, 'EX_cpd01188_e': 0.041092197454026216, 'EX_cpd00357_e': 0.04109219745379838, 'EX_cpd03847_e': 0.041092197454026216, 'EX_cpd01080_e': 0.041092197454026216, 'EX_cpd00010_e': 0.041092197454026216, 'EX_cpd00264_e': 0.041092197454026216, 'EX_cpd11606_e': 0.041092197454026216, 'EX_cpd00305_e': 0.041092197454026216, 'EX_cpd00129_e': 0.041092197454026216, 'EX_cpd00367_e': 0.04109219745428744}"
P. distasonis_gapfilled_22,"{'EX_cpd00635_e': 0.04109219745381919, 'EX_cpd00023_e': 0.04109219745393906, 'EX_cpd11595_e': 0.04109219745381919, 'EX_cpd00154_e': 0.04109219745382418, 'EX_cpd08306_e': 0.04109219745380887, 'EX_cpd00309_e': 0.04109219745380887, 'EX_cpd00540_e': 0.04109219745380887, 'EX_cpd11597_e': 0.04109219745380887, 'EX_cpd08305_e': 0.04109219745380887, 'EX_cpd00396_e': 0.04109219745380887, 'EX_cpd00039_e': 0.04109219745380887, 'EX_cpd00011_e': 0.04109219745380139, 'EX_cpd00322_e': 0.04109219745379557, 'EX_cpd00111_e': 0.04109219745379557, 'EX_cpd00028_e': 0.04109219745379557, 'EX_cpd01188_e': 0.04109219745379557, 'EX_cpd00357_e': 0.04109219745441016, 'EX_cpd03847_e': 0.04109219745379557, 'EX_cpd01080_e': 0.04109219745379557, 'EX_cpd00010_e': 0.04109219745379557, 'EX_cpd00264_e': 0.04109219745379557, 'EX_cpd11606_e': 0.04109219745379557, 'EX_cpd00305_e': 0.04109219745379557, 'EX_cpd00129_e': 0.04109219745379557, 'EX_cpd00367_e': 0.04109219745381919}"
P. distasonis_gapfilled_23,"{'EX_cpd00635_e': 0.041092197453795554, 'EX_cpd00023_e': 0.041092197454731166, 'EX_cpd11595_e': 0.041092197453795554, 'EX_cpd00154_e': 0.04109219745379556, 'EX_cpd08306_e': 0.041092197453795554, 'EX_cpd00309_e': 0.041092197453795554, 'EX_cpd00540_e': 0.041092197453795554, 'EX_cpd11597_e': 0.041092197453795554, 'EX_cpd08305_e': 0.041092197453795554, 'EX_cpd00396_e': 0.041092197453795554, 'EX_cpd00039_e': 0.041092197453795554, 'EX_cpd00011_e': 0.041092197453796074, 'EX_cpd00322_e': 0.041092197453795554, 'EX_cpd00111_e': 0.041092197453795554, 'EX_cpd00028_e': 0.041092197453795554, 'EX_cpd01188_e': 0.041092197453795554, 'EX_cpd00357_e': 0.04109219745377804, 'EX_cpd03847_e': 0.041092197453795554, 'EX_cpd01080_e': 0.041092197453795554, 'EX_cpd00010_e': 0.041092197453795554, 'EX_cpd00264_e': 0.041092197453795554, 'EX_cpd11606_e': 0.041092197453795554, 'EX_cpd00305_e': 0.041092197453795554, 'EX_cpd00129_e': 0.041092197453795554, 'EX_cpd00367_e': 0.041092197453795554}"
P. distasonis_gapfilled_24,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.041092197453795574, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379557, 'EX_cpd08306_e': 0.041092197453847595, 'EX_cpd00309_e': 0.041092197453847595, 'EX_cpd00540_e': 0.041092197453847595, 'EX_cpd11597_e': 0.041092197453847595, 'EX_cpd08305_e': 0.041092197453847595, 'EX_cpd00396_e': 0.041092197453847595, 'EX_cpd00039_e': 0.041092197453847595, 'EX_cpd00011_e': 0.04109219745375385, 'EX_cpd00322_e': 0.04109219745375069, 'EX_cpd00111_e': 0.04109219745375069, 'EX_cpd00028_e': 0.04109219745375069, 'EX_cpd01188_e': 0.04109219745375069, 'EX_cpd00357_e': 0.04109219745399522, 'EX_cpd03847_e': 0.04109219745375069, 'EX_cpd01080_e': 0.04109219745375069, 'EX_cpd00010_e': 0.04109219745375069, 'EX_cpd00264_e': 0.04109219745375069, 'EX_cpd11606_e': 0.04109219745375069, 'EX_cpd00305_e': 0.04109219745375069, 'EX_cpd00129_e': 0.041092197453758965, 'EX_cpd00367_e': 0.04109219745379557}"
P. distasonis_gapfilled_25,"{'EX_cpd00635_e': 0.020546098726746176, 'EX_cpd00023_e': 0.020546098727034615, 'EX_cpd11595_e': 0.020546098726746176, 'EX_cpd00154_e': 0.020546098726780343, 'EX_cpd08306_e': 0.020546098726746176, 'EX_cpd00309_e': 0.020546098726746176, 'EX_cpd00540_e': 0.020546098726746176, 'EX_cpd11597_e': 0.020546098726746176, 'EX_cpd08305_e': 0.020546098726746176, 'EX_cpd00396_e': 0.02054609872676269, 'EX_cpd00039_e': 0.020546098726746176, 'EX_cpd00011_e': 0.02054609872689778, 'EX_cpd00322_e': 0.02054609872689778, 'EX_cpd00111_e': 0.02054609872689778, 'EX_cpd00028_e': 0.02054609872689778, 'EX_cpd01188_e': 0.02054609872689778, 'EX_cpd00357_e': 0.020546098726897784, 'EX_cpd03847_e': 0.02054609872689778, 'EX_cpd01080_e': 0.02054609872689778, 'EX_cpd00010_e': 0.02054609872689778, 'EX_cpd00264_e': 0.02054609872689778, 'EX_cpd11606_e': 0.02054609872689778, 'EX_cpd00305_e': 0.02054609872689778, 'EX_cpd00129_e': 0.02054609872689778, 'EX_cpd00367_e': 0.020546098726746176}"
P. distasonis_gapfilled_26,"{'EX_cpd00635_e': 0.04741177298785406, 'EX_cpd00023_e': 0.04741177298426828, 'EX_cpd11595_e': 0.04741177298785406, 'EX_cpd00154_e': 0.04741177298785406, 'EX_cpd08306_e': 0.04741177298785406, 'EX_cpd00309_e': 0.04741177298785406, 'EX_cpd00540_e': 0.04741177298785406, 'EX_cpd11597_e': 0.04741177298785406, 'EX_cpd08305_e': 0.04741177298785406, 'EX_cpd00396_e': 0.04741177298785406, 'EX_cpd00039_e': 0.04741177298785406, 'EX_cpd00011_e': 0.04741177298785406, 'EX_cpd00322_e': 0.04741177298785406, 'EX_cpd00111_e': 0.04741177298785406, 'EX_cpd00028_e': 0.04741177298785406, 'EX_cpd01188_e': 0.04741177298785406, 'EX_cpd00357_e': 0.04741177298753046, 'EX_cpd03847_e': 0.04741177298785406, 'EX_cpd01080_e': 0.04741177298785406, 'EX_cpd00010_e': 0.04741177298785406, 'EX_cpd00264_e': 0.04741177298785406, 'EX_cpd11606_e': 0.04741177298785406, 'EX_cpd00305_e': 0.04741177298785406, 'EX_cpd00129_e': 0.04741177298785406, 'EX_cpd00367_e': 0.04741177298785406}"
