,Parabacteroides distasonis ATCC 8503_0.01.pkl
P. distasonis_gapfilled_27,"{'EX_cpd00635_e': 0.041092197453791515, 'EX_cpd00023_e': 0.04109219745379554, 'EX_cpd11595_e': 0.041092197453791515, 'EX_cpd00154_e': 0.041092197453791515, 'EX_cpd08306_e': 0.041092197453791515, 'EX_cpd00309_e': 0.041092197453791515, 'EX_cpd00540_e': 0.041092197453791515, 'EX_cpd11597_e': 0.041092197453791515, 'EX_cpd08305_e': 0.041092197453791515, 'EX_cpd00396_e': 0.041092197453791515, 'EX_cpd00039_e': 0.041092197453791515, 'EX_cpd00011_e': 0.04109219745376145, 'EX_cpd00322_e': 0.04109219745376712, 'EX_cpd00111_e': 0.04109219745376712, 'EX_cpd00028_e': 0.04109219745376712, 'EX_cpd01188_e': 0.04109219745376712, 'EX_cpd00357_e': 0.04109219745379554, 'EX_cpd03847_e': 0.04109219745376712, 'EX_cpd01080_e': 0.04109219745376712, 'EX_cpd00010_e': 0.04109219745376712, 'EX_cpd00264_e': 0.04109219745376712, 'EX_cpd11606_e': 0.04109219745376712, 'EX_cpd00305_e': 0.04109219745376712, 'EX_cpd00129_e': 0.04109219745376712, 'EX_cpd00367_e': 0.041092197453791515}"
P. distasonis_gapfilled_28,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.04109219744988293, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379557, 'EX_cpd08306_e': 0.04109219745379557, 'EX_cpd00309_e': 0.04109219745379557, 'EX_cpd00540_e': 0.04109219745379557, 'EX_cpd11597_e': 0.04109219745379557, 'EX_cpd08305_e': 0.04109219745379557, 'EX_cpd00396_e': 0.04109219745379557, 'EX_cpd00039_e': 0.04109219745379557, 'EX_cpd00011_e': 0.04109219745379557, 'EX_cpd00322_e': 0.041092197453831754, 'EX_cpd00111_e': 0.041092197453831754, 'EX_cpd00028_e': 0.041092197453831754, 'EX_cpd01188_e': 0.041092197453831754, 'EX_cpd00357_e': 0.04109219745379557, 'EX_cpd03847_e': 0.041092197453831754, 'EX_cpd01080_e': 0.041092197453831754, 'EX_cpd00010_e': 0.041092197453831754, 'EX_cpd00264_e': 0.041092197453831754, 'EX_cpd11606_e': 0.041092197453831754, 'EX_cpd00305_e': 0.041092197453831754, 'EX_cpd00129_e': 0.04109219745385851, 'EX_cpd00367_e': 0.04109219745379557}"
P. distasonis_gapfilled_29,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.04109219745444895, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.041092197453795574}"
P. distasonis_gapfilled_3,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.041092197454684266, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453808654, 'EX_cpd08306_e': 0.041092197454149736, 'EX_cpd00309_e': 0.041092197454149736, 'EX_cpd00540_e': 0.041092197454149736, 'EX_cpd11597_e': 0.041092197454149736, 'EX_cpd08305_e': 0.041092197454149736, 'EX_cpd00396_e': 0.041092197454149736, 'EX_cpd00039_e': 0.041092197454149736, 'EX_cpd00011_e': 0.04109219745341237, 'EX_cpd00322_e': 0.0410921974534631, 'EX_cpd00111_e': 0.0410921974534631, 'EX_cpd00028_e': 0.0410921974534631, 'EX_cpd01188_e': 0.0410921974534631, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.0410921974534631, 'EX_cpd01080_e': 0.0410921974534631, 'EX_cpd00010_e': 0.0410921974534631, 'EX_cpd00264_e': 0.0410921974534631, 'EX_cpd11606_e': 0.0410921974534631, 'EX_cpd00305_e': 0.0410921974534631, 'EX_cpd00129_e': 0.0410921974534631, 'EX_cpd00367_e': 0.041092197453795574}"
P. distasonis_gapfilled_30,"{'EX_cpd00635_e': 0.041092197453790134, 'EX_cpd00023_e': 0.041092197453783466, 'EX_cpd11595_e': 0.041092197453790134, 'EX_cpd00154_e': 0.041092197453790134, 'EX_cpd08306_e': 0.041092197453790134, 'EX_cpd00309_e': 0.041092197453790134, 'EX_cpd00540_e': 0.041092197453790134, 'EX_cpd11597_e': 0.041092197453790134, 'EX_cpd08305_e': 0.041092197453790134, 'EX_cpd00396_e': 0.041092197453790134, 'EX_cpd00039_e': 0.041092197453790134, 'EX_cpd00011_e': 0.041092197453790995, 'EX_cpd00322_e': 0.041092197453537156, 'EX_cpd00111_e': 0.041092197453537156, 'EX_cpd00028_e': 0.041092197453537156, 'EX_cpd01188_e': 0.041092197453537156, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.041092197453537156, 'EX_cpd01080_e': 0.041092197453537156, 'EX_cpd00010_e': 0.041092197453537156, 'EX_cpd00264_e': 0.041092197453537156, 'EX_cpd11606_e': 0.041092197453537156, 'EX_cpd00305_e': 0.041092197453537156, 'EX_cpd00129_e': 0.04109219745348271, 'EX_cpd00367_e': 0.041092197453790134}"
P. distasonis_gapfilled_31,"{'EX_cpd00635_e': 0.041092197453795595, 'EX_cpd00023_e': 0.04109219745296543, 'EX_cpd11595_e': 0.041092197453795595, 'EX_cpd00154_e': 0.041092197453795595, 'EX_cpd08306_e': 0.041092197453795595, 'EX_cpd00309_e': 0.041092197453795595, 'EX_cpd00540_e': 0.041092197453795595, 'EX_cpd11597_e': 0.041092197453795595, 'EX_cpd08305_e': 0.041092197453795595, 'EX_cpd00396_e': 0.041092197453795595, 'EX_cpd00039_e': 0.041092197453795595, 'EX_cpd00011_e': 0.041092197453795595, 'EX_cpd00322_e': 0.041092197453795595, 'EX_cpd00111_e': 0.041092197453795595, 'EX_cpd00028_e': 0.041092197453795595, 'EX_cpd01188_e': 0.041092197453795595, 'EX_cpd00357_e': 0.04109219745379556, 'EX_cpd03847_e': 0.041092197453795595, 'EX_cpd01080_e': 0.041092197453795595, 'EX_cpd00010_e': 0.041092197453795595, 'EX_cpd00264_e': 0.041092197453795595, 'EX_cpd11606_e': 0.041092197453795595, 'EX_cpd00305_e': 0.041092197453795595, 'EX_cpd00129_e': 0.041092197453795595, 'EX_cpd00367_e': 0.041092197453795595}"
P. distasonis_gapfilled_32,"{'EX_cpd00635_e': 0.020546098726897798, 'EX_cpd00023_e': 0.02054609872698351, 'EX_cpd11595_e': 0.020546098726897798, 'EX_cpd00154_e': 0.020546098726897798, 'EX_cpd08306_e': 0.020546098726897798, 'EX_cpd00309_e': 0.020546098726897798, 'EX_cpd00540_e': 0.020546098726897798, 'EX_cpd11597_e': 0.020546098726897798, 'EX_cpd08305_e': 0.020546098726897798, 'EX_cpd00396_e': 0.020546098726897798, 'EX_cpd00039_e': 0.020546098726897798, 'EX_cpd00011_e': 0.020546098726897798, 'EX_cpd00322_e': 0.020546098726897798, 'EX_cpd00111_e': 0.020546098726897798, 'EX_cpd00028_e': 0.020546098726897798, 'EX_cpd01188_e': 0.020546098726897798, 'EX_cpd00357_e': 0.020546098726915058, 'EX_cpd03847_e': 0.020546098726897798, 'EX_cpd01080_e': 0.020546098726897798, 'EX_cpd00010_e': 0.020546098726897798, 'EX_cpd00264_e': 0.020546098726897798, 'EX_cpd11606_e': 0.020546098726897798, 'EX_cpd00305_e': 0.020546098726897798, 'EX_cpd00129_e': 0.020546098726897798, 'EX_cpd00367_e': 0.020546098726897798}"
P. distasonis_gapfilled_33,"{'EX_cpd00635_e': 0.020546098726897787, 'EX_cpd00023_e': 0.020546098728187207, 'EX_cpd11595_e': 0.020546098726897787, 'EX_cpd00154_e': 0.020546098726897784, 'EX_cpd08306_e': 0.020546098726897787, 'EX_cpd00309_e': 0.020546098726897787, 'EX_cpd00540_e': 0.020546098726897787, 'EX_cpd11597_e': 0.020546098726897787, 'EX_cpd08305_e': 0.020546098726897787, 'EX_cpd00396_e': 0.020546098726897787, 'EX_cpd00039_e': 0.020546098726897787, 'EX_cpd00011_e': 0.020546098726897798, 'EX_cpd00322_e': 0.020546098726897798, 'EX_cpd00111_e': 0.020546098726897798, 'EX_cpd00028_e': 0.020546098726897798, 'EX_cpd01188_e': 0.020546098726897798, 'EX_cpd00357_e': 0.020546098727875065, 'EX_cpd03847_e': 0.020546098726897798, 'EX_cpd01080_e': 0.020546098726897798, 'EX_cpd00010_e': 0.020546098726897798, 'EX_cpd00264_e': 0.020546098726897798, 'EX_cpd11606_e': 0.020546098726897798, 'EX_cpd00305_e': 0.020546098726897798, 'EX_cpd00129_e': 0.020546098726897798, 'EX_cpd00367_e': 0.020546098726897787}"
P. distasonis_gapfilled_34,"{'EX_cpd00635_e': 0.041092197453795554, 'EX_cpd00023_e': 0.04109219745369316, 'EX_cpd11595_e': 0.041092197453795554, 'EX_cpd00154_e': 0.041092197453795554, 'EX_cpd08306_e': 0.04109219745379554, 'EX_cpd00309_e': 0.04109219745379554, 'EX_cpd00540_e': 0.04109219745379554, 'EX_cpd11597_e': 0.04109219745379554, 'EX_cpd08305_e': 0.04109219745379554, 'EX_cpd00396_e': 0.04109219745379554, 'EX_cpd00039_e': 0.04109219745379554, 'EX_cpd00011_e': 0.04109219745381836, 'EX_cpd00322_e': 0.04109219745379556, 'EX_cpd00111_e': 0.04109219745379556, 'EX_cpd00028_e': 0.04109219745379556, 'EX_cpd01188_e': 0.04109219745379556, 'EX_cpd00357_e': 0.04109219745379559, 'EX_cpd03847_e': 0.04109219745379556, 'EX_cpd01080_e': 0.04109219745379556, 'EX_cpd00010_e': 0.04109219745379556, 'EX_cpd00264_e': 0.04109219745379556, 'EX_cpd11606_e': 0.04109219745379556, 'EX_cpd00305_e': 0.04109219745379556, 'EX_cpd00129_e': 0.041092197453795595, 'EX_cpd00367_e': 0.041092197453795554}"
P. distasonis_gapfilled_35,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.04109219745378582, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745385244, 'EX_cpd08306_e': 0.041092197453056645, 'EX_cpd00309_e': 0.041092197453056645, 'EX_cpd00540_e': 0.041092197453056645, 'EX_cpd11597_e': 0.041092197453056645, 'EX_cpd08305_e': 0.041092197453056645, 'EX_cpd00396_e': 0.041092197452663654, 'EX_cpd00039_e': 0.041092197453056645, 'EX_cpd00011_e': 0.041092197453056645, 'EX_cpd00322_e': 0.041092197453056645, 'EX_cpd00111_e': 0.041092197453056645, 'EX_cpd00028_e': 0.041092197453056645, 'EX_cpd01188_e': 0.041092197453056645, 'EX_cpd00357_e': 0.04109219745327845, 'EX_cpd03847_e': 0.041092197453056645, 'EX_cpd01080_e': 0.041092197453056645, 'EX_cpd00010_e': 0.041092197453056645, 'EX_cpd00264_e': 0.041092197453056645, 'EX_cpd11606_e': 0.041092197453056645, 'EX_cpd00305_e': 0.041092197453056645, 'EX_cpd00129_e': 0.04109219745579432, 'EX_cpd00367_e': 0.04109219745379557}"
P. distasonis_gapfilled_36,"{'EX_cpd00635_e': 0.041092197455446865, 'EX_cpd00023_e': 0.04109219745527985, 'EX_cpd11595_e': 0.041092197455446865, 'EX_cpd00154_e': 0.041092197455446865, 'EX_cpd08306_e': 0.041092197455446865, 'EX_cpd00309_e': 0.041092197455446865, 'EX_cpd00540_e': 0.041092197455446865, 'EX_cpd11597_e': 0.041092197455446865, 'EX_cpd08305_e': 0.041092197455446865, 'EX_cpd00396_e': 0.041092197455446865, 'EX_cpd00039_e': 0.041092197455446865, 'EX_cpd00011_e': 0.041092197454006274, 'EX_cpd00322_e': 0.04109219745382425, 'EX_cpd00111_e': 0.04109219745382425, 'EX_cpd00028_e': 0.04109219745382425, 'EX_cpd01188_e': 0.04109219745382425, 'EX_cpd00357_e': 0.04109219745371788, 'EX_cpd03847_e': 0.04109219745382425, 'EX_cpd01080_e': 0.04109219745382425, 'EX_cpd00010_e': 0.04109219745382425, 'EX_cpd00264_e': 0.04109219745382425, 'EX_cpd11606_e': 0.04109219745382425, 'EX_cpd00305_e': 0.04109219745382425, 'EX_cpd00129_e': 0.04109219745382425, 'EX_cpd00367_e': 0.041092197455446865}"
P. distasonis_gapfilled_37,"{'EX_cpd00635_e': 0.041092197455058196, 'EX_cpd00023_e': 0.041092197453793736, 'EX_cpd11595_e': 0.041092197455058196, 'EX_cpd00154_e': 0.041092197467200824, 'EX_cpd08306_e': 0.041092197453795075, 'EX_cpd00309_e': 0.041092197453795075, 'EX_cpd00540_e': 0.041092197453795075, 'EX_cpd11597_e': 0.041092197453795075, 'EX_cpd08305_e': 0.041092197453795075, 'EX_cpd00396_e': 0.041092197453795075, 'EX_cpd00039_e': 0.041092197453795075, 'EX_cpd00011_e': 0.041092197453795075, 'EX_cpd00322_e': 0.041092197453795075, 'EX_cpd00111_e': 0.041092197453795075, 'EX_cpd00028_e': 0.041092197453795075, 'EX_cpd01188_e': 0.041092197453795075, 'EX_cpd00357_e': 0.04109219745379561, 'EX_cpd03847_e': 0.041092197453795075, 'EX_cpd01080_e': 0.041092197453795075, 'EX_cpd00010_e': 0.041092197453795075, 'EX_cpd00264_e': 0.041092197453795075, 'EX_cpd11606_e': 0.041092197453795075, 'EX_cpd00305_e': 0.041092197453795075, 'EX_cpd00129_e': 0.041092197453795075, 'EX_cpd00367_e': 0.041092197455058196}"
P. distasonis_gapfilled_38,"{'EX_cpd00635_e': 0.04109219745379559, 'EX_cpd00023_e': 0.041092197453795554, 'EX_cpd11595_e': 0.04109219745379559, 'EX_cpd00154_e': 0.04109219745379559, 'EX_cpd08306_e': 0.041092197453795595, 'EX_cpd00309_e': 0.041092197453795595, 'EX_cpd00540_e': 0.041092197453795595, 'EX_cpd11597_e': 0.041092197453795595, 'EX_cpd08305_e': 0.041092197453795595, 'EX_cpd00396_e': 0.041092197453795595, 'EX_cpd00039_e': 0.041092197453795595, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.041092197453795554, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.04109219745379559}"
P. distasonis_gapfilled_39,"{'EX_cpd00635_e': 0.020546098726897787, 'EX_cpd00023_e': 0.020546098726897777, 'EX_cpd11595_e': 0.020546098726897787, 'EX_cpd00154_e': 0.020546098726897787, 'EX_cpd08306_e': 0.020546098726897787, 'EX_cpd00309_e': 0.020546098726897787, 'EX_cpd00540_e': 0.020546098726897787, 'EX_cpd11597_e': 0.020546098726897787, 'EX_cpd08305_e': 0.020546098726897787, 'EX_cpd00396_e': 0.020546098726897787, 'EX_cpd00039_e': 0.020546098726897787, 'EX_cpd00011_e': 0.020546098726897787, 'EX_cpd00322_e': 0.020546098726897787, 'EX_cpd00111_e': 0.020546098726897787, 'EX_cpd00028_e': 0.020546098726897787, 'EX_cpd01188_e': 0.020546098726897787, 'EX_cpd00357_e': 0.020546098726897777, 'EX_cpd03847_e': 0.020546098726897787, 'EX_cpd01080_e': 0.020546098726897787, 'EX_cpd00010_e': 0.020546098726897787, 'EX_cpd00264_e': 0.020546098726897787, 'EX_cpd11606_e': 0.020546098726897787, 'EX_cpd00305_e': 0.020546098726897787, 'EX_cpd00129_e': 0.020546098726897787, 'EX_cpd00367_e': 0.020546098726897787}"
P. distasonis_gapfilled_4,"{'EX_cpd00635_e': 0.04109219745379558, 'EX_cpd00023_e': 0.04109219745380234, 'EX_cpd11595_e': 0.04109219745379558, 'EX_cpd00154_e': 0.04109219745379558, 'EX_cpd08306_e': 0.04109219745379558, 'EX_cpd00309_e': 0.04109219745379558, 'EX_cpd00540_e': 0.04109219745379558, 'EX_cpd11597_e': 0.04109219745379558, 'EX_cpd08305_e': 0.04109219745379558, 'EX_cpd00396_e': 0.04109219745379558, 'EX_cpd00039_e': 0.04109219745379558, 'EX_cpd00011_e': 0.04109219745379558, 'EX_cpd00322_e': 0.04109219745379558, 'EX_cpd00111_e': 0.04109219745379558, 'EX_cpd00028_e': 0.04109219745379558, 'EX_cpd01188_e': 0.04109219745379558, 'EX_cpd00357_e': 0.04109219745379548, 'EX_cpd03847_e': 0.04109219745379558, 'EX_cpd01080_e': 0.04109219745379558, 'EX_cpd00010_e': 0.04109219745379558, 'EX_cpd00264_e': 0.04109219745379558, 'EX_cpd11606_e': 0.04109219745379558, 'EX_cpd00305_e': 0.04109219745379558, 'EX_cpd00129_e': 0.04109219745379558, 'EX_cpd00367_e': 0.04109219745379558}"
P. distasonis_gapfilled_40,"{'EX_cpd00635_e': 0.02054609872700414, 'EX_cpd00023_e': 0.020546098726897784, 'EX_cpd11595_e': 0.02054609872700414, 'EX_cpd00154_e': 0.02054609872700414, 'EX_cpd08306_e': 0.02054609872700414, 'EX_cpd00309_e': 0.02054609872700414, 'EX_cpd00540_e': 0.02054609872700414, 'EX_cpd11597_e': 0.02054609872700414, 'EX_cpd08305_e': 0.02054609872700414, 'EX_cpd00396_e': 0.02054609872700414, 'EX_cpd00039_e': 0.02054609872700414, 'EX_cpd00011_e': 0.02054609872714619, 'EX_cpd00322_e': 0.020546098727430295, 'EX_cpd00111_e': 0.020546098727430295, 'EX_cpd00028_e': 0.020546098727430295, 'EX_cpd01188_e': 0.020546098727430295, 'EX_cpd00357_e': 0.020546098726880083, 'EX_cpd03847_e': 0.020546098727430295, 'EX_cpd01080_e': 0.020546098727430295, 'EX_cpd00010_e': 0.020546098727430295, 'EX_cpd00264_e': 0.020546098727430295, 'EX_cpd11606_e': 0.020546098727430295, 'EX_cpd00305_e': 0.020546098727430295, 'EX_cpd00129_e': 0.020546098727430295, 'EX_cpd00367_e': 0.02054609872700414}"
P. distasonis_gapfilled_41,"{'EX_cpd00635_e': 0.020546098726962593, 'EX_cpd00023_e': 0.020546098726897798, 'EX_cpd11595_e': 0.020546098726962593, 'EX_cpd00154_e': 0.020546098726897794, 'EX_cpd08306_e': 0.020546098726897853, 'EX_cpd00309_e': 0.020546098726897853, 'EX_cpd00540_e': 0.020546098726897853, 'EX_cpd11597_e': 0.020546098726897853, 'EX_cpd08305_e': 0.020546098726897853, 'EX_cpd00396_e': 0.020546098726897853, 'EX_cpd00039_e': 0.020546098726897853, 'EX_cpd00011_e': 0.020546098726897853, 'EX_cpd00322_e': 0.020546098726897853, 'EX_cpd00111_e': 0.020546098726897853, 'EX_cpd00028_e': 0.020546098726897853, 'EX_cpd01188_e': 0.020546098726897853, 'EX_cpd00357_e': 0.020546098726897798, 'EX_cpd03847_e': 0.020546098726897853, 'EX_cpd01080_e': 0.020546098726897853, 'EX_cpd00010_e': 0.020546098726897853, 'EX_cpd00264_e': 0.020546098726897853, 'EX_cpd11606_e': 0.020546098726897853, 'EX_cpd00305_e': 0.020546098726897853, 'EX_cpd00129_e': 0.020546098726897853, 'EX_cpd00367_e': 0.020546098726962593}"
P. distasonis_gapfilled_42,"{'EX_cpd00635_e': 0.020546098726897784, 'EX_cpd00023_e': 0.020546098726822067, 'EX_cpd11595_e': 0.020546098726897784, 'EX_cpd00154_e': 0.020546098726897784, 'EX_cpd08306_e': 0.020546098726897784, 'EX_cpd00309_e': 0.020546098726897784, 'EX_cpd00540_e': 0.020546098726897784, 'EX_cpd11597_e': 0.020546098726897784, 'EX_cpd08305_e': 0.020546098726897784, 'EX_cpd00396_e': 0.020546098726897784, 'EX_cpd00039_e': 0.020546098726897784, 'EX_cpd00011_e': 0.020546098726897784, 'EX_cpd00322_e': 0.020546098726897784, 'EX_cpd00111_e': 0.020546098726897784, 'EX_cpd00028_e': 0.020546098726897784, 'EX_cpd01188_e': 0.020546098726897784, 'EX_cpd00357_e': 0.020546098726897784, 'EX_cpd03847_e': 0.020546098726897784, 'EX_cpd01080_e': 0.020546098726897784, 'EX_cpd00010_e': 0.020546098726897784, 'EX_cpd00264_e': 0.020546098726897784, 'EX_cpd11606_e': 0.020546098726897784, 'EX_cpd00305_e': 0.020546098726897784, 'EX_cpd00129_e': 0.020546098726897784, 'EX_cpd00367_e': 0.020546098726897784}"
P. distasonis_gapfilled_43,"{'EX_cpd00635_e': 0.04109219745379556, 'EX_cpd00023_e': 0.04109219745396387, 'EX_cpd11595_e': 0.04109219745379556, 'EX_cpd00154_e': 0.04109219745379556, 'EX_cpd08306_e': 0.04109219745379556, 'EX_cpd00309_e': 0.04109219745379556, 'EX_cpd00540_e': 0.04109219745379556, 'EX_cpd11597_e': 0.04109219745379556, 'EX_cpd08305_e': 0.04109219745379556, 'EX_cpd00396_e': 0.04109219745379556, 'EX_cpd00039_e': 0.04109219745379556, 'EX_cpd00011_e': 0.04109219745379168, 'EX_cpd00322_e': 0.04109219745379556, 'EX_cpd00111_e': 0.04109219745379556, 'EX_cpd00028_e': 0.04109219745379556, 'EX_cpd01188_e': 0.04109219745379556, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.04109219745379556, 'EX_cpd01080_e': 0.04109219745379556, 'EX_cpd00010_e': 0.04109219745379556, 'EX_cpd00264_e': 0.04109219745379556, 'EX_cpd11606_e': 0.04109219745379556, 'EX_cpd00305_e': 0.04109219745379556, 'EX_cpd00129_e': 0.04109219745379556, 'EX_cpd00367_e': 0.04109219745379556}"
